Size	Insertion time (ns)	Query time (ns)	Largest bucket
20	892	200	2
24	901	161	2
28	902	200	3
32	801	140	2
40	1092	300	5
48	3506	351	4
56	2735	270	2
64	2615	180	2
80	3326	361	5
96	4088	381	3
112	4438	691	5
128	5281	360	3
160	5891	411	2
192	6423	1002	2
224	11142	1693	8
256	13095	782	2
320	13145	792	2
384	13586	1373	4
448	13435	1553	3
512	18064	2134	2
640	23405	1954	3
768	23625	2064	2
896	24768	2675	3
1024	27824	3026	3
1280	32873	3367	3
1536	39045	3647	2
1792	47081	4829	3
2048	52611	4639	2
2560	65416	6322	2
3072	97988	6983	2
3584	93329	9067	3
4096	109981	11182	2
5120	128156	11802	2
6144	183161	14348	3
7168	188762	18937	3
8192	314915	20690	2
10240	287081	23175	3
12288	452169	41008	3
14336	639649	73160	3
16384	763276	49986	2
20480	872515	71758	2
24576	1344151	96095	3
28672	1273355	105142	3
32768	1809706	110332	2
40960	1754219	144017	2
49152	2295409	159406	3
57344	2891193	210344	3
65536	3272956	208581	2
81920	4245093	303814	3
98304	5497939	399898	3
114688	7758401	445255	3
131072	6865837	645931	2
163840	9884194	756403	3
196608	13907982	1444955	3
229376	21999863	833561	3
262144	40883251	5885825	3
327680	74068748	16604669	5
393216	86498620	6196121	3
458752	129797571	7638821	4
524288	154668280	13784936	4
655360	145895842	13389005	2
786432	219081830	33917182	2
917504	305436840	19313274	6
1048576	321173605	22633942	2
1310720	239401413	15987697	3
1572864	361970280	28032931	2
1835008	424391868	32881262	2
2097152	494652916	39517943	2
2621440	646500321	51149930	3
3145728	766085123	53559218	3
3670016	984851515	67864031	3
4194304	1101734482	98785129	2
