Size	Insertion time (ns)	Query time (ns)	Largest bucket
20	1353	621	0
24	1763	561	0
28	1233	481	0
32	1283	390	0
40	1533	721	0
48	2575	912	0
56	1984	891	0
64	2946	872	0
80	2655	1634	0
96	3136	1853	0
112	3918	3045	0
128	4228	2695	0
160	5020	3707	0
192	6072	3927	0
224	7264	4909	0
256	8366	5190	0
320	10611	9328	0
384	12944	11041	0
448	15700	13657	0
512	18936	13086	0
640	23224	20269	0
768	27232	24918	0
896	38374	28364	0
1024	40658	33223	0
1280	49114	43033	0
1536	57511	51559	0
1792	71106	58623	0
2048	76437	64514	0
2560	95183	79613	0
3072	112977	98109	0
3584	138917	114991	0
4096	149227	132835	0
5120	186057	172071	0
6144	245912	207969	0
7168	263306	240201	0
8192	364861	293444	0
10240	410518	355263	0
12288	563512	427231	0
14336	811298	551459	0
16384	717147	584723	0
20480	952980	916029	0
24576	1360994	987336	0
28672	1686309	1040959	0
32768	1558653	1188914	0
40960	2007064	1578301	0
49152	2417293	1864511	0
57344	2852488	2081437	0
65536	3090876	2489481	0
81920	3843542	3074084	0
98304	4739353	3777876	0
114688	5671052	4412514	0
131072	6310100	5100616	0
163840	8654607	7368292	0
196608	9633443	7749564	0
229376	11747853	10062346	0
262144	15337415	11477815	0
327680	19042303	15862607	0
393216	25045854	19139700	0
458752	35446539	23085289	0
524288	34255873	26278722	0
655360	44919043	36201880	0
786432	58149584	40380626	0
917504	68871086	48400820	0
1048576	78192839	57094918	0
1310720	213197623	73253022	0
1572864	125506612	91035475	0
1835008	322080626	105442316	0
2097152	389302927	122118785	0
2621440	432092549	151370256	0
3145728	597501346	271615693	0
3670016	613097011	221129316	0
4194304	953034134	267764797	0
